69	75
70	66
71	74
80	88
74	69
78	77
60	50
80	77
81	87
86	92
73	81
80	79
80	74
81	83
90	84
73	76
80	78
75	68
64	76
82	85
67	60
69	78
68	60
75	69
91	90
80	69
62	66
88	79
85	90
89	81
73	75
76	90
69	64
85	83
62	73
73	65
56	69
65	64
78	69
65	71
84	78
85	86
80	82
67	68
59	59
75	85
82	71
71	73
88	78
65	70
83	79
69	52
82	76
82	88
66	72
70	69
74	72
83	70
79	93
76	91
74	88
66	76
67	66
69	63
63	67
70	82
71	87
82	70
78	85
86	88
72	78
77	67
73	76
71	74
78	73
74	69
78	74
78	68
89	91
70	75
76	70
79	81
70	74
75	64
84	75
77	74
75	77
75	74
73	71
67	73
81	81
72	68
72	72
86	84
60	69
79	80
59	60
72	75
80	78
67	66
73	84
72	85
81	69
78	74
77	82
70	66
72	68
66	71
78	76
72	76
68	66
75	78
78	93
73	72
85	81
83	85
73	70
74	66
86	74
77	69
